time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
17024,79872,,,4,78,,,0.006196553,3.0248446611313985e-06,0.08046875,770,-1.148581474274397,0.0003,-0.005420918684103526,-0.014391030184924603,0.2,-0.21924304962158203,0.00376,2498.516129032258,,
,80000,,,,,,,0.01320127,4.769030603493651e-07,0.1083984375,780,-1.0397353239357472,0.0003,-0.006093369345762767,-0.014400477521121502,0.2,-0.004968166351318359,,,0.0,2500.0
18386,80896,,,4,79,,,,,,,,,,,,,0.0036425,2498.5625,,
18490,81920,,,4,80,,,0.007062642,1.5157712245361666e-07,0.09150390625,790,-1.0448242664337157,0.0003,-0.00338890154089313,0.018015386536717415,0.2,-0.267317533493042,0.0036425,2498.5625,,
18595,82944,,,4,81,,,0.0049809013,7.197884599047244e-08,0.017578125,800,-1.0409539848566056,0.0003,-0.0008693567040609195,9.657032933318987e-05,0.2,-0.03292739391326904,0.003532121212121212,2498.6060606060605,,
18700,83968,,,4,82,,,0.0077983243,2.287232164159547e-07,0.026171875,810,-1.0914305709302425,0.0003,-0.0009469803175306879,-0.010533953085541725,0.2,-0.03703415393829346,0.003532121212121212,2498.6060606060605,,
18804,84992,,,4,83,,,0.006508072,5.23744827530398e-07,0.02314453125,820,-1.089166010171175,0.0003,-0.002404288243269548,-0.006728564389050007,0.2,0.18802380561828613,0.003428235294117647,2498.6470588235293,,
18909,86016,,,4,84,,,0.0053424714,7.33830129187596e-07,0.0400390625,830,-1.1212669029831885,0.0003,-0.0005866015737410635,0.03150651231408119,0.2,-0.2174772024154663,0.003428235294117647,2498.6470588235293,,
19013,87040,,,4,85,,,0.010470579,1.5524197318263212e-05,0.106640625,840,-1.124217839539051,0.0003,-0.007884494180325418,-0.033273182809352875,0.2,0.06783735752105713,0.003428235294117647,2498.6470588235293,,
19118,88064,,,4,86,,,0.009419905,1.7894847450100614e-07,0.075390625,850,-1.0996570855379104,0.0003,-0.003672809158160817,0.019495412707328796,0.2,0.15862834453582764,0.003330285714285714,2498.6857142857143,,
19222,89088,,,4,87,,,0.008018393,1.9782753347685755e-06,0.07880859375,860,-1.0103308059275151,0.0003,-0.006882983809919097,0.0013912598369643092,0.2,-0.03665792942047119,0.003330285714285714,2498.6857142857143,,
,90000,,,,,,,0.00579297,5.6476383955408885e-06,0.06181640625,870,-0.9753630500286817,0.0003,-0.003871486577554606,-0.01717887818813324,0.2,0.02109616994857788,,,0.0,2500.0
20585,90112,,,4,88,,,,,,,,,,,,,0.003237777777777778,2498.722222222222,,
